162,132,53,75,129,130,147,271,1
170,126,52,76,133,128,145,288,1
165,117,48,71,138,128,146,317,1
173,113,44,71,139,139,132,315,1
154,105,45,68,90,123,120,269,1
150,97,48,68,88,123,119,251,1
143,91,44,61,86,125,113,259,1
130,92,44,61,79,111,99,233,1
121,81,41,58,66,80,94,221,1
122,76,39,58,64,82,86,200,1
103,75,36,53,48,66,78,189,1
77,71,36,51,38,57,75,160,1
71,69,36,49,26,49,70,147,1
73,62,37,42,36,53,68,182,1
78,61,34,35,37,54,71,196,1
89,56,30,38,57,95,72,249,1
129,58,29,53,65,132,82,284,1
196,58,37,66,75,180,107,380,1
206,58,36,69,157,204,159,379,1
213,64,37,70,163,211,168,407,1
252,104,43,71,200,208,198,514,1
321,129,46,68,300,240,234,564,1
313,132,47,62,336,288,235,522,1
319,137,49,62,318,283,258,533,1
331,142,51,70,383,319,279,571,1
318,131,53,78,433,374,284,568,1
275,124,53,85,415,371,260,503,1
328,124,52,89,395,335,275,548,1
377,138,63,95,408,369,301,600,1
377,144,68,102,378,365,325,634,1
381,153,68,99,311,340,330,614,1
371,148,77,90,267,326,396,710,1
333,152,75,93,285,474,384,722,1
266,145,70,93,256,457,331,683,1
252,155,66,84,274,459,314,694,1
232,149,63,83,264,435,304,659,1
208,143,53,82,261,435,244,568,1
181,144,54,78,275,411,286,515,1
191,139,50,76,315,418,290,528,1
188,120,50,83,267,401,275,506,1
202,109,49,82,300,421,274,474,1
200,102,49,84,300,445,251,485,1
183,91,50,89,302,349,218,476,1
204,83,50,87,280,340,224,461,1
212,81,51,86,293,353,265,350,1
224,78,63,82,257,339,297,436,1
232,88,68,82,261,302,324,453,1
229,93,70,75,256,277,328,451,1
200,96,67,77,239,265,332,428,1
200,89,65,76,220,239,315,503,1
193,85,61,90,227,254,275,494,1
199,82,53,93,244,258,246,500,1
220,87,51,95,306,267,246,577,1
228,85,59,94,306,286,240,580,1
218,83,61,91,308,298,220,530,1
228,88,56,82,352,290,250,535,1
214,82,58,81,333,305,263,502,1
249,83,59,85,240,297,258,411,1
260,88,51,85,285,306,301,425,1
268,98,49,84,306,302,296,462,1
251,91,45,86,279,289,274,402,1
249,93,46,92,282,265,252,433,1
196,85,48,83,295,250,263,425,1
169,81,59,89,274,218,216,421,1
159,69,60,92,240,205,209,358,1
170,70,85,110,202,196,230,344,1
232,71,104,127,192,207,273,291,1
257,78,110,126,156,178,266,364,1
271,78,121,121,94,155,278,388,1
278,75,131,123,107,156,281,391,1
259,80,120,128,108,224,279,439,1
213,82,115,129,106,293,263,468,1
178,76,124,133,103,303,260,443,1
173,72,119,147,116,312,236,454,1
165,81,111,146,96,308,226,444,1
188,82,109,126,80,257,237,414,1
187,77,126,109,72,161,206,374,1
216,74,133,129,78,140,198,372,1
215,84,129,116,57,128,219,345,1
212,83,166,110,62,114,248,370,1
195,81,177,115,74,145,237,376,1
194,80,166,120,79,160,254,417,1
163,81,151,97,71,156,273,388,1
172,77,149,94,74,150,256,372,1
171,70,103,98,74,167,249,363,1
173,65,87,109,70,156,242,366,1
166,65,81,109,78,150,239,326,1
167,70,77,112,86,185,212,345,1
156,68,81,127,154,207,231,341,1
155,77,81,124,160,200,227,355,1
163,81,74,108,166,193,240,320,1
188,89,68,101,163,179,236,349,1
204,83,67,96,161,147,226,389,1
193,76,60,75,107,141,209,390,1
205,72,61,98,106,143,219,474,1
193,79,63,103,98,147,197,494,1
163,67,56,93,93,145,183,475,1
153,73,56,95,93,148,186,433,1
182,73,56,102,102,125,187,438,1
166,71,52,83,89,114,208,326,1
183,58,49,74,83,96,221,290,1
189,59,48,77,84,92,222,271,1
202,50,45,74,86,102,254,333,1
191,59,38,56,58,96,261,310,1
190,53,37,54,56,95,244,315,1
200,57,34,54,56,98,258,344,1
