332,226,622,862,660,1179,626,610,0
305,216,599,686,534,746,506,589,0
210,206,503,433,456,567,332,304,0
180,162,472,384,359,549,251,270,0
183,98,329,363,324,404,188,316,0
182,80,314,363,238,408,144,333,0
174,80,316,387,202,399,120,349,0
169,76,310,410,259,388,99,361,0
151,81,282,427,359,356,63,352,0
139,76,252,401,440,320,59,325,0
125,80,228,377,506,305,53,306,0
114,82,206,351,585,299,47,283,0
105,81,189,335,617,281,49,266,0
91,74,153,305,626,249,43,232,0
85,75,140,279,612,400,111,209,0
85,73,133,266,638,814,184,196,0
75,69,120,241,738,998,191,184,0
73,69,108,220,805,1161,198,168,0
64,64,91,190,766,1175,203,145,0
58,62,80,169,741,1131,175,133,0
45,56,67,131,676,882,96,110,0
44,48,51,95,471,668,84,74,0
40,44,49,79,225,302,83,56,0
40,43,43,56,179,222,73,41,0
40,39,41,51,133,190,73,39,0
39,39,35,46,96,157,72,37,0
35,38,37,49,83,106,69,38,0
29,35,34,46,79,62,41,38,0
26,35,32,53,79,51,41,40,0
25,40,34,54,88,48,40,42,0
29,39,35,58,97,44,37,44,0
30,37,36,60,108,44,32,45,0
31,36,36,60,109,48,34,47,0
32,39,35,54,106,49,35,45,0
32,34,33,54,100,50,35,48,0
30,37,36,52,102,50,42,45,0
29,37,35,50,104,51,41,45,0
28,41,37,50,101,51,39,45,0
28,39,37,52,107,55,39,44,0
29,39,37,50,109,52,36,40,0
29,38,36,46,106,49,29,41,0
29,41,35,45,100,47,34,39,0
32,43,36,42,97,43,33,37,0
32,42,36,42,86,39,32,36,0
32,42,35,39,79,38,33,33,0
35,39,34,39,73,35,31,33,0
35,38,34,37,60,36,29,33,0
33,32,29,38,56,38,29,33,0
33,33,31,33,47,39,29,33,0
32,31,33,32,42,37,31,34,0
31,32,31,29,33,40,32,33,0
33,29,32,34,31,39,30,33,0
33,33,35,34,30,35,32,32,0
34,31,32,34,31,32,32,31,0
33,35,32,35,30,32,31,30,0
31,36,33,36,30,29,33,30,0
27,38,32,31,32,26,33,29,0
29,37,33,32,30,26,32,29,0
26,40,37,34,29,24,29,28,0
26,40,36,34,36,23,35,32,0
27,39,37,33,36,24,33,30,0
27,38,40,36,35,27,33,32,0
29,37,38,34,36,27,35,31,0
29,34,34,34,36,30,37,32,0
28,34,33,32,31,32,32,29,0
29,35,33,33,33,34,33,29,0
30,34,29,32,33,33,32,27,0
27,35,29,32,30,35,31,28,0
30,38,27,31,32,33,33,29,0
31,38,30,33,33,33,35,27,0
31,40,31,34,31,33,34,29,0
31,42,30,34,30,33,36,31,0
32,44,30,32,32,32,35,31,0
33,45,32,32,31,34,32,32,0
32,45,32,30,31,34,28,33,0
32,43,31,30,29,32,32,33,0
34,42,34,28,30,33,31,34,0
33,40,34,31,29,33,32,34,0
32,37,33,34,32,32,33,32,0
30,33,33,34,30,33,33,31,0
34,34,33,33,30,36,32,29,0
33,35,32,34,32,33,30,26,0
