76,108,133,129,183,371,96,405,3
69,99,122,127,169,333,69,387,3
71,81,119,124,152,298,83,368,3
73,87,128,121,133,268,91,411,3
75,94,137,125,116,248,101,417,3
71,99,134,137,109,229,111,353,3
83,106,147,158,100,216,121,361,3
92,118,172,165,95,210,125,354,3
92,131,189,165,89,192,121,275,3
105,132,188,178,90,183,118,263,3
114,133,190,172,102,170,107,283,3
105,130,187,158,101,157,95,259,3
100,131,170,158,109,149,80,262,3
98,117,152,160,118,146,80,264,3
88,112,151,146,120,135,70,248,3
79,104,147,142,107,124,71,238,3
81,101,137,134,112,125,65,240,3
75,90,124,119,108,117,59,259,3
72,85,109,105,108,117,51,253,3
70,78,97,93,106,124,57,265,3
69,76,84,89,108,127,51,240,3
73,73,84,80,110,123,50,238,3
75,61,86,82,107,123,50,212,3
72,66,101,68,98,113,50,224,3
71,65,103,65,92,110,45,253,3
69,67,109,60,100,113,46,285,3
68,65,99,62,101,111,50,297,3
66,71,100,54,102,110,48,292,3
70,64,84,54,99,107,47,297,3
78,77,98,57,108,108,46,255,3
79,74,94,57,101,94,42,205,3
72,73,98,56,100,96,37,167,3
76,71,95,61,102,97,34,175,3
74,73,92,63,110,100,37,154,3
68,68,75,63,110,100,36,150,3
66,69,71,66,115,105,38,164,3
74,78,69,62,111,106,37,184,3
70,73,66,58,112,109,40,272,3
67,72,68,58,106,111,43,274,3
72,85,72,54,107,108,49,319,3
71,86,81,51,104,106,48,327,3
63,76,83,49,108,115,50,317,3
60,81,79,47,111,117,46,277,3
62,83,74,44,127,113,42,285,3
64,66,72,48,122,112,33,263,3
63,62,62,45,126,115,33,260,3
64,65,54,50,121,100,29,264,3
67,76,65,52,114,94,28,240,3
65,70,69,51,94,92,27,226,3
51,62,65,50,98,95,35,205,3
57,66,71,48,93,99,35,204,3
54,64,77,44,95,104,37,208,3
47,45,70,41,99,106,39,192,3
54,59,66,41,102,102,40,187,3
58,62,74,40,94,99,37,184,3
53,59,69,44,94,88,41,177,3
53,58,71,44,99,90,44,209,3
54,62,74,45,98,88,44,215,3
54,60,78,45,91,85,43,233,3
51,56,76,46,90,83,41,229,3
52,55,78,46,91,90,40,230,3
54,57,74,50,83,83,35,204,3
71,68,73,51,78,80,33,212,3
68,59,73,49,76,86,37,223,3
67,60,72,49,80,86,36,227,3
68,69,73,45,73,77,34,230,3
68,73,70,40,64,74,35,254,3
53,62,71,39,73,77,37,252,3
55,67,70,40,73,70,33,224,3
55,70,64,47,74,70,35,219,3
55,66,63,47,71,71,37,225,3
62,62,61,47,72,73,35,201,3
63,59,56,45,74,70,36,215,3
62,57,52,51,82,76,42,254,3
64,56,52,45,88,79,41,312,3
62,53,51,47,91,82,39,317,3
56,53,49,46,91,81,44,319,3
61,54,47,48,84,82,43,318,3
62,52,50,42,79,77,40,299,3
64,50,51,41,72,75,43,247,3
66,53,49,42,73,74,41,246,3
65,52,64,43,73,74,44,274,3
57,54,66,41,76,70,48,282,3
61,56,65,47,80,75,49,307,3
58,57,64,48,77,71,48,311,3
69,62,70,45,74,70,59,383,3
70,64,57,42,78,72,53,373,3
79,60,64,45,85,80,52,367,3
76,57,66,37,84,80,51,361,3
79,61,78,39,92,83,51,410,3
77,60,73,41,98,83,45,347,3
79,62,76,46,96,81,46,371,3
73,63,80,45,96,85,43,372,3
74,67,80,50,95,83,43,362,3
77,64,74,46,96,95,51,377,3
75,58,79,45,94,99,50,404,3
72,54,80,43,93,102,49,368,3
71,56,71,41,85,94,49,355,3
69,52,69,37,85,97,52,350,3
59,50,62,39,86,89,45,276,3
57,58,64,38,87,95,43,229,3
63,59,62,37,99,99,42,257,3
62,60,63,38,100,103,44,279,3
62,62,67,37,106,110,38,316,3
69,64,71,38,107,113,38,314,3
65,56,80,44,104,115,40,332,3
